stateFIPS,CongressionalDistrict,StateUpper,StateAbbreviation,Population2016,FracCDFromSLD,FracSLDFromCD
37,1,20,NC,203078.933,0.268,0.025
37,1,22,NC,130902.835,0.173,0.017
37,2,4,NC,39938.393,0.049,0.005
37,2,10,NC,35179.694,0.043,0.004
37,2,11,NC,164918.066,0.201,0.02
37,2,12,NC,133382.133,0.163,0.016
37,2,14,NC,15064.148,0.018,0.002
37,2,15,NC,103370.089,0.126,0.013
37,2,17,NC,141443.359,0.173,0.017
37,2,18,NC,186599.589,0.228,0.023
37,3,1,NC,178433,0.238,0.022
37,3,2,NC,185146.006,0.247,0.023
37,3,3,NC,18524,0.025,0.002
37,3,5,NC,78306.503,0.104,0.01
37,3,6,NC,196988.056,0.263,0.024
37,3,7,NC,92160.863,0.123,0.011
37,4,14,NC,205177.277,0.245,0.025
37,4,15,NC,116058.771,0.138,0.014
37,4,16,NC,231657.461,0.276,0.028
37,4,17,NC,84422.433,0.101,0.01
37,4,18,NC,27719.845,0.033,0.003
37,4,20,NC,5690.831,0.007,0.001
37,4,22,NC,25541.472,0.03,0.003
37,4,23,NC,141773.024,0.169,0.018
37,5,30,NC,187050.459,0.249,0.025
37,5,31,NC,208597.417,0.277,0.029
37,5,32,NC,200445.583,0.266,0.032
37,5,42,NC,47056.293,0.063,0.022
37,5,45,NC,109115.336,0.145,0.054
37,6,12,NC,59616,0.078,0.007
37,6,22,NC,62199.283,0.082,0.008
37,6,23,NC,72243,0.095,0.009
37,6,24,NC,197180.837,0.259,0.026
37,6,26,NC,161789.831,0.212,0.021
37,6,27,NC,49077.429,0.064,0.006
37,6,28,NC,53892.521,0.071,0.007
37,6,29,NC,105941.194,0.139,0.014
37,7,5,NC,46802.656,0.059,0.006
37,7,7,NC,77381.727,0.098,0.009
37,7,8,NC,200488.692,0.254,0.025
37,7,9,NC,217647.544,0.276,0.027
37,7,10,NC,166357.962,0.211,0.02
37,7,11,NC,3832.9,0.005,0
37,7,12,NC,19359.488,0.025,0.002
37,7,13,NC,56505.959,0.072,0.007
37,8,19,NC,131038.823,0.169,0.016
37,8,21,NC,171553.861,0.221,0.021
37,8,25,NC,90070.91,0.116,0.012
37,8,29,NC,95776,0.123,0.013
37,8,33,NC,27418,0.035,0.004
37,8,34,NC,60145.482,0.077,0.011
37,8,36,NC,201547.054,0.259,0.041
37,9,8,NC,25129.806,0.032,0.003
37,9,13,NC,133246.344,0.17,0.016
37,9,19,NC,56555.527,0.072,0.007
37,9,21,NC,21229.445,0.027,0.003
37,9,25,NC,105630.056,0.135,0.014
37,9,35,NC,213662.983,0.273,0.04
37,9,36,NC,12959.815,0.017,0.003
37,9,37,NC,1445.25,0.002,0
37,9,39,NC,153970.71,0.197,0.035
37,9,41,NC,58079.539,0.074,0.028
37,10,42,NC,147025.874,0.195,0.07
37,10,43,NC,207450.569,0.275,0.102
37,10,44,NC,97096.739,0.128,0.047
37,10,46,NC,97121.219,0.129,0.048
37,10,47,NC,86755,0.115,0.046
37,10,48,NC,23377.145,0.031,0.013
37,10,49,NC,96811.79,0.128,0.057
37,11,45,NC,81452.965,0.108,0.04
37,11,46,NC,88805.174,0.118,0.044
37,11,47,NC,99219,0.132,0.052
37,11,48,NC,172707.93,0.23,0.096
37,11,49,NC,110882.135,0.147,0.065
37,11,50,NC,199023,0.265,0.134
37,12,37,NC,208750.262,0.248,0.043
