StateFIPS,CongressionalDistrict,StateUpper,StateLower,StateAbbreviation,Population2016,CDInSLD,SLDInCD
48,32,8,112,TX,38344.133,0.05,1
48,32,8,114,TX,5450.86,0.007,1
48,32,16,102,TX,52348.048,0.068,0.641
48,32,16,103,TX,5281.234,0.007,0.065
48,32,16,107,TX,6790.469,0.009,0.426
48,32,16,108,TX,103812.085,0.136,0.905
48,32,16,112,TX,120189.675,0.157,0.889
48,32,16,113,TX,56481.046,0.074,1
48,32,16,114,TX,73004.34,0.095,0.434
48,32,23,103,TX,10135.142,0.013,0.094
48,32,23,108,TX,38645.327,0.051,0.595
48,32,30,89,TX,39730.004,0.052,0.173
48,33,9,90,TX,3072.634,0.004,1
48,33,9,92,TX,33.447,0,0
48,33,9,93,TX,20091.414,0.026,0.148
48,33,9,94,TX,5100.617,0.007,0.106
48,33,9,95,TX,21530.735,0.028,0.946
48,33,9,101,TX,67274.628,0.088,0.765
48,33,9,103,TX,29151.718,0.038,0.676
48,33,9,104,TX,41878.004,0.054,0.448
48,33,9,105,TX,87904.228,0.114,0.532
48,33,10,90,TX,157638.607,0.205,0.744
48,33,10,93,TX,4263.335,0.006,0.09
48,33,10,94,TX,384.637,0.001,0.002
48,33,10,95,TX,97608.527,0.127,0.584
48,33,10,97,TX,103.685,0,0.001
48,33,10,99,TX,454.875,0.001,0.099
48,33,12,90,TX,1187.357,0.002,0.134
48,33,12,99,TX,150.51,0,0.001
48,33,16,103,TX,46768.881,0.061,0.575
48,33,16,105,TX,1981.143,0.003,0.031
48,33,23,100,TX,6694.783,0.009,0.058
48,33,23,103,TX,48079.132,0.063,0.444
48,33,23,104,TX,117321.259,0.153,0.738
48,33,23,110,TX,148.966,0,0.001
48,33,23,111,TX,10028.583,0.013,0.054
48,34,18,17,TX,6470.327,0.009,0.097
48,34,18,30,TX,28382,0.039,0.143
48,34,20,43,TX,41149,0.057,0.287
48,34,21,43,TX,54073.581,0.074,0.279
48,34,27,31,TX,22214,0.031,0.581
48,34,27,35,TX,71618.089,0.098,0.492
48,34,27,36,TX,172.213,0,0.002
48,34,27,37,TX,175712.577,0.241,0.462
48,34,27,38,TX,174804.335,0.24,0.296
48,34,27,39,TX,121677.86,0.167,0.627
48,34,27,43,TX,31690,0.044,0.983
48,35,14,46,TX,39566.21,0.049,0.172
48,35,14,48,TX,1894.532,0.002,0.007
48,35,14,49,TX,6089.901,0.007,0.022
48,35,14,50,TX,9959.758,0.012,0.027
48,35,14,51,TX,41892.807,0.051,0.154
48,35,19,118,TX,12396.924,0.015,0.092
48,35,19,119,TX,54011.314,0.066,0.598
48,35,19,120,TX,55220.413,0.068,0.682
48,35,21,17,TX,19282.933,0.024,0.179
48,35,21,45,TX,59594.298,0.073,0.914
48,35,21,48,TX,22125.51,0.027,0.338
48,35,21,49,TX,1145.15,0.001,0.031
48,35,21,51,TX,117813.422,0.145,0.476
48,35,25,44,TX,26966.837,0.033,0.251
48,35,25,45,TX,46890.652,0.058,0.308
48,35,25,47,TX,3276.205,0.004,0.035
48,35,25,48,TX,8715.081,0.011,0.055
48,35,25,73,TX,38679.852,0.048,0.156
48,35,25,118,TX,27290.779,0.034,0.733
48,35,25,119,TX,250.818,0,0.012
48,35,25,120,TX,2664.518,0.003,0.08
48,35,25,121,TX,45434.019,0.056,0.236
48,35,26,116,TX,27039.961,0.033,0.159
48,35,26,119,TX,35772.471,0.044,0.349
48,35,26,120,TX,35006.521,0.043,0.309
48,35,26,121,TX,3387.728,0.004,0.818
48,35,26,123,TX,65654.66,0.081,0.385
48,35,26,125,TX,6177.092,0.008,0.033
48,36,3,18,TX,81704,0.108,0.741
48,36,3,19,TX,175209,0.232,0.548
48,36,3,21,TX,84964,0.112,1
48,36,4,23,TX,39899,0.053,0.936
48,36,4,128,TX,28747.761,0.038,0.777
48,36,4,142,TX,296.091,0,1
48,36,6,128,TX,20456.087,0.027,1
48,36,6,143,TX,16693.262,0.022,0.117
48,36,6,144,TX,22699.202,0.03,0.148
48,36,6,145,TX,1.122,0,0
48,36,11,128,TX,83256.576,0.11,0.593
48,36,11,129,TX,91530.306,0.121,0.497
48,36,11,144,TX,14293.129,0.019,0.512
48,36,11,145,TX,25759.932,0.034,1
48,36,15,128,TX,52421.597,0.069,1
48,36,15,142,TX,9911.203,0.013,0.141
48,36,15,143,TX,8470.002,0.011,0.191
49,1,17,1,UT,36968.156,0.049,1
49,1,17,5,UT,21427.512,0.028,1
49,1,17,29,UT,16170.844,0.021,0.034
49,1,18,8,UT,1752.563,0.002,0.276
49,1,18,9,UT,8882.723,0.012,1
49,1,18,10,UT,39220.161,0.052,0.322
49,1,18,11,UT,37843.771,0.05,0.674
49,1,18,13,UT,2118.602,0.003,0.008
49,1,18,14,UT,2241.452,0.003,0.183
49,1,18,16,UT,1272.055,0.002,0.091
49,1,18,53,UT,10470.731,0.014,0.036
49,1,19,7,UT,39509.221,0.052,0.531
49,1,19,8,UT,37659.234,0.05,0.355
49,1,19,9,UT,5730.893,0.008,0.162
49,1,19,28,UT,2434.577,0.003,0.478
49,1,19,29,UT,4708.475,0.006,0.049
49,1,19,53,UT,10154.188,0.013,0.148
49,1,19,54,UT,2463.427,0.003,0.027
49,1,20,9,UT,24832.44,0.033,0.334
49,1,20,12,UT,38029.229,0.05,1
49,1,20,13,UT,21617.113,0.029,1
49,1,20,29,UT,18469.897,0.024,0.119
49,1,21,12,UT,1519.988,0.002,0.008
49,1,21,13,UT,17473.721,0.023,1
49,1,21,14,UT,38938.946,0.052,0.32
49,1,21,15,UT,39844.685,0.053,0.763
49,1,21,16,UT,8657.566,0.011,0.41
49,1,22,11,UT,2395.573,0.003,1
49,1,22,15,UT,1307.793,0.002,1
49,1,22,16,UT,31133.511,0.041,1
49,1,22,17,UT,40050.179,0.053,0.969
49,1,22,18,UT,2132.004,0.003,0.071
49,1,25,1,UT,2258.796,0.003,1
49,1,25,3,UT,40166.914,0.053,1
49,1,25,4,UT,40140.763,0.053,1
49,1,25,5,UT,18759.015,0.025,1
49,1,25,53,UT,2319,0.003,1
49,1,26,53,UT,18526.139,0.025,0.395
49,1,26,54,UT,12306.041,0.016,0.106
49,1,26,55,UT,41168.978,0.055,0.182
49,1,26,69,UT,12024.919,0.016,0.41
49,2,1,22,UT,3869.423,0.005,1
49,2,1,23,UT,28802.317,0.038,0.365
49,2,1,26,UT,12095.078,0.016,0.878
49,2,1,30,UT,10153.288,0.013,1
49,2,1,31,UT,26928.048,0.035,0.716
49,2,2,24,UT,38456.816,0.051,0.96
49,2,2,25,UT,28368.871,0.037,0.326
