StateFIPS,PUMA,CongressionalDistrict,StateAbbreviaiton,PUMA2k,Population2016,PUMAWgt,CDWgt
26,2505,14,MI,2602505,53831.544,0.351,0.077
26,2506,11,MI,2602506,10730.925,0.063,0.015
26,2506,14,MI,2602506,160936.98,0.937,0.23
26,2507,9,MI,2602507,62132.182,0.654,0.085
26,2507,14,MI,2602507,32836.3,0.346,0.047
26,2508,9,MI,2602508,93051.359,0.911,0.128
26,2508,11,MI,2602508,9123.149,0.089,0.013
26,2601,6,MI,2602601,131160.952,1,0.183
26,2602,6,MI,2602602,205716.048,1,0.287
26,2700,6,MI,2602700,112452,0.721,0.157
26,2700,7,MI,2602700,43427,0.279,0.062
26,2800,3,MI,2602800,134386,1,0.183
26,2900,7,MI,2602900,158460,1,0.225
26,3000,7,MI,2603000,144278,1,0.205
26,3100,7,MI,2603100,149208,1,0.212
26,3200,12,MI,2603200,119431.564,1,0.17
26,3300,7,MI,2603300,99555.04,0.406,0.141
26,3300,12,MI,2603300,145722.396,0.594,0.207
26,3400,8,MI,2603400,188624,1,0.259
26,3500,10,MI,2603500,247927,1,0.35
26,3600,11,MI,2603600,93149.802,1,0.131
26,3701,13,MI,2603701,79318.869,0.832,0.117
26,3701,14,MI,2603701,16035.195,0.168,0.023
26,3702,13,MI,2603702,18578.649,0.245,0.027
26,3702,14,MI,2603702,57151.327,0.755,0.082
26,3703,13,MI,2603703,2642.425,0.036,0.004
26,3703,14,MI,2603703,70073.265,0.964,0.1
26,3704,13,MI,2603704,21687.102,0.227,0.032
26,3704,14,MI,2603704,73762.09,0.773,0.105
26,3705,13,MI,2603705,84273.176,1,0.124
26,3706,13,MI,2603706,71461.739,0.794,0.105
26,3706,14,MI,2603706,18486.405,0.206,0.026
26,3707,13,MI,2603707,6319.719,0.089,0.009
26,3707,14,MI,2603707,64995.005,0.911,0.093
26,3708,13,MI,2603708,92050.553,0.911,0.136
26,3708,14,MI,2603708,9019.797,0.089,0.013
26,3801,13,MI,2603801,11315.344,0.125,0.017
26,3801,14,MI,2603801,78958.539,0.875,0.113
26,3802,12,MI,2603802,104362.331,0.532,0.149
26,3802,13,MI,2603802,91935.247,0.468,0.136
26,3803,11,MI,2603803,151881.779,0.828,0.213
26,3803,12,MI,2603803,31528.453,0.172,0.045
26,3804,12,MI,2603804,85094.73,0.787,0.121
26,3804,13,MI,2603804,23050.593,0.213,0.034
26,3805,12,MI,2603805,127876.069,1,0.182
26,3806,13,MI,2603806,148694.534,1,0.219
26,3807,12,MI,2603807,88586.574,0.766,0.126
26,3807,13,MI,2603807,27071.883,0.234,0.04
26,3900,9,MI,2603900,93819.441,0.701,0.129
26,3900,10,MI,2603900,40005.36,0.299,0.056
26,4000,9,MI,2604000,138320.399,1,0.19
26,4101,9,MI,2604101,152498.154,1,0.209
26,4102,9,MI,2604102,131648.712,0.838,0.181
26,4102,10,MI,2604102,25369.127,0.162,0.036
26,4103,10,MI,2604103,125390.801,1,0.177
26,4104,10,MI,2604104,160690.053,1,0.227
27,100,7,MN,2700100,148639,1,0.224
27,200,7,MN,2700200,82964.299,0.699,0.125
27,200,8,MN,2700200,35699.701,0.301,0.054
27,300,8,MN,2700300,102774,1,0.155
27,400,8,MN,2700400,199980,1,0.301
